名称,代码,现价,PE,市值亿,净利同比%,营收同比%,ROE%,毛利率%,距MA20%,距MA60%,60日区间%,量比,评分
拉卡拉,300773,16.0,10.596,174.0,490.97,24.1336708806,13.0,24.2,5.2,-0.8,38,1.47,95
云铝股份,000807,27.85,15.914,965.8,269.45,13.6840893824,10.64,31.6,6.9,6.9,63,1.02,95
宏桥控股,002379,19.76,14.415,2574.9,37.56,3.205088824,13.81,24.0,2.9,8.4,67,1.54,95
分众传媒,002027,5.29,25.931,764.0,57.65,2.0092691701,12.13,68.7,1.6,3.8,65,1.01,90
宝丰能源,600989,23.9,15.321,1752.7,50.23,22.8956954811,7.28,37.4,3.8,3.9,42,0.71,85
春秋航空,601021,45.83,19.256,448.4,45.15,14.158256146,5.3,20.1,0.5,-0.1,43,0.67,85
盐津铺子,002847,50.79,18.27,137.2,29.48,2.9384521083,10.97,31.8,3.0,0.3,43,1.18,85
华友钴业,603799,46.07,13.793,872.3,99.45,44.6237854319,5.05,20.7,14.2,-2.7,44,1.58,85
中国铝业,601600,10.05,13.581,1724.1,56.35,4.8488062761,7.11,25.8,7.1,3.3,48,0.74,85
腾远钴业,301219,52.79,14.003,202.1,330.11,75.1256309993,5.52,34.6,15.8,-0.8,51,1.42,85
中原内配,002448,12.29,17.557,72.3,78.66,25.403979127,5.13,26.8,7.5,-0.6,52,1.07,85
盐湖股份,000792,29.5,18.418,1561.0,154.78,94.8919768094,6.54,68.7,9.7,1.6,54,0.63,85
芭田股份,002170,11.69,12.385,113.4,60.26,19.4203790135,7.02,38.2,3.9,3.0,54,0.83,85
诺 普 信,002215,9.21,13.936,92.5,20.04,25.194549439,16.58,42.7,3.2,2.6,54,0.75,85
天山铝业,002532,13.94,13.276,645.2,109.7,6.553903303,7.27,35.6,8.2,6.6,56,0.87,85
神火股份,000933,27.34,15.105,614.9,223.28,28.827177073,8.9,33.5,7.0,6.3,60,0.98,85
世纪华通,002602,14.31,18.346,1054.7,50.18,35.1855421478,6.46,72.0,6.6,2.7,64,0.73,85
焦作万方,000612,11.68,13.007,139.2,216.46,18.485738586,6.86,36.4,6.7,5.1,71,0.86,85
兴齐眼药,300573,42.95,15.177,153.5,41.48,27.4548724552,9.92,82.1,3.5,6.6,73,1.14,85
卫星化学,002648,26.46,16.747,891.3,34.97,2.8220058813,6.14,24.3,7.3,9.9,76,0.75,85
大豪科技,603025,13.54,21.156,151.2,41.32,15.582997897,8.37,47.6,4.1,-4.3,32,0.72,80
高能环境,603588,14.69,26.641,223.8,168.4,50.9081934711,6.059,24.3,12.7,1.5,38,0.85,80
西麦食品,002956,18.18,23.308,56.8,85.86,25.6454425147,6.13,44.1,4.2,-9.1,39,0.96,80
宁德时代,300750,393.87,24.403,18223.0,48.52,52.4486955482,5.98,24.8,2.5,0.5,53,0.84,80
天味食品,603317,14.64,27.182,155.5,234.67,76.1909393739,5.36,45.0,3.4,3.4,54,1.07,80
纽威股份,603699,53.34,25.4,413.5,31.4,16.5283120327,7.27,39.2,19.0,4.8,55,1.17,80
